Title,Link,Author,Level,Date,Duration,Average Rating,No of Users
AWS Developer - An Introduction to AWS Lambda,https://www.pluralsight.com/courses/aws-developer-introduction-aws-lambda,Fernando Medina Corey,Beginner,Jan 3 2017,1h 51m,4.5/5.0,132
AWS Developer: Lambda Deep Dive,https://www.pluralsight.com/courses/aws-developer-lambda-deep-dive,Dror Helper,Intermediate,Jul 1 2018,3h 18m,4.0/5.0,29
AWS Security Fundamentals,https://www.pluralsight.com/courses/aws-security-fundamentals,Keith Townsend,Beginner,Aug 15 2016,2h 4m,3.5/5.0,59
Accelerating the Character Rigging Process in Maya,https://www.pluralsight.com/courses/accelerating-character-rigging-maya-2101,Eric Kunzendorf,Advanced,May 14 2015,4h 31m,4.5/5.0,12
Accelerating the Face-rigging Process in Maya,https://www.pluralsight.com/courses/accelerating-face-rigging-process-maya-2148,Eric Kunzendorf,Advanced,Jun 16 2015,4h 31m,5.0/5.0,11
Advanced Python,https://www.pluralsight.com/courses/advanced-python,Robert Smallshire,Advanced,Jun 23 2017,3h 53m,4.5/5.0,58
Advanced V-Ray Techniques for Film and TV,https://www.pluralsight.com/courses/advanced-v-ray-techniques-film-tv-2399,Ashish Dani,Advanced,Feb 15 2016,2h 10m,No Reviews Yet.,No Reviews Yet.
Analyzing and Visualizing Resource Usage Using the Google Cloud Billing APIs,https://www.pluralsight.com/courses/google-cloud-platform-billing-apis-analyzing-visualizing-resource-usage,Vitthal Srinivasan,Beginner,Jan 8 2019,1h 24m,No Reviews Yet.,No Reviews Yet.
Apache Spark Fundamentals,https://www.pluralsight.com/courses/apache-spark-fundamentals,Justin Pihony,Intermediate,Oct 26 2015,4h 27m,4.0/5.0,247
Applying Real-time Processing Using Apache Storm,https://www.pluralsight.com/courses/apache-storm-applying-real-time-processing-using,Swetha Kolalapudi,Beginner,Mar 8 2017,2h 15m,4.5/5.0,28
Architecting Big Data Solutions Using Google Bigtable,https://www.pluralsight.com/courses/google-bigtable-architecting-big-data-solutions,Janani Ravi,Beginner,Dec 3 2018,2h 2m,No Reviews Yet.,No Reviews Yet.
Architecting Data Warehousing Solutions Using Google BigQuery,https://www.pluralsight.com/courses/google-bigquery-architecting-data-warehousing-solutions,Janani Ravi,Beginner,Oct 14 2018,2h 48m,No Reviews Yet.,No Reviews Yet.
